movie_id,title,release_date,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,genres,Review
1,Toy Story (1995),01-Jan-1995,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Animation', ""Children's"", 'Comedy']"," With the ever increasing proximity of Toy Story 3, I decided it was about time for me to revisit the original and its first sequel to refresh my memory. Having been among the original target audience, it's a real trip back to childhood.

The longtime favourite toy of young Andy, Woody is disgruntled to be pushed aside in favour of a new space-ranger action figure in the form of Buzz Lightyear. Admired by child and fellow toys alike, Buzz threatens Woody's territory, prompting an effort to remove him which results in the two being left many miles from home, with little time to get back before the family's move.

Now regarded fondly as one of the best kids' movies of all time, Toy Story was the catalyst which allowed Pixar to rapidly ascend to the throne of animation where they dominantly remain to this day. Certainly it wowed me when I first saw it, almost fifteen years ago now. Indulging every child's fantasy that their toys come to life when they're not looking, we find ourselves instantly aligned with the host of strange characters. The quality of the animation, revolutionary for its time, is seen instantly, proudly boasted in the movements of the soldiers as they march downstairs. Everything looks completely realistic and, most importantly, believable. Whilst amusing beforehand, the laughs only really start to build up when Buzz arrives and we are treated to his interactions with Woody, the disagreements between the two and their petty arguments forming the basis of the film's funny factor. The added maturity of years affords the understanding of some of the film's more adult jokes, adding a little something extra to the experience for returning viewers. The action-adventure side of the plot keeps up the drama, tension, and sense of doom, keeping us wondering whether or not the reluctant duo will ever make it back in time. The scenes in Sid's house are the film's best, in terms of keeping up suspense. Their oddness is stand-out and ever memorable, the stranger toys therein encountered doubtlessly having haunted many little 'uns over the years. Certainly still enjoyable, Toy Story remains an inherently good film, though for me it stands less high than the likes of Wall-E, lacking the considerable emotional impact of that later Pixar effort.

Carrying a vast legacy, Toy Story stands the test of time well, still as enjoyable as ever it was. Having paved the way for films which, as you would hope, took what it did and did them better, it is enduring, endearing, and thoroughly entertaining."
2,GoldenEye (1995),01-Jan-1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Action', 'Adventure', 'Thriller']"," This movie fully deserves it's status as a classic in the action/thriller/spy/drama category. It's so much fun, well written, solid dialogue and yet it finds that sweet spot with just the right amount of classic Bond ridiculousness. Famke Jensenn playing Onatopp, a soviet assassin who kills men by riding them to death in bed? Yup, sounds like a Bond movie. Judi Dench absolutely kills it as M, I love the gravitas and complexity she brings to the role. Even back in 1995 calling out Bond, what some would consider to be the fictional epitome of toxic masculinity and chauvinism, and saying he's a dinosaur and that she has no problem sending him off to die if she has to. Love her so much in this. As for Bond himself, this may be because I grew up in this period but I have always loved Brosnan in the role. Yes, the later films get exponentially more absurd and the quality absolutely goes down but he is so perfectly cast as the suave, charming and devilish-at-times international man of mystery. That man wears the hell out of those suits, drinks a martini with the best of them and looks just right in that Aston Martin.

Definite recommend for people interested in a solid action flick. The plot is a little crazy, but that was perfectly in line with when it was made and the style of film it's going for. Easily worth a rent."
3,Four Rooms (1995),01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Thriller']," When I was in high school, anything Tarantino-related was required to be memorized. Yes, even this one was insisted upon in high school, though perhaps not as strongly as QT's first two. This portmanteau follows bellhop Tim Roth as he gets into several adventures over New Year's Eve. I remember liking this one quite a bit, but, viewing it now, it's just too uneven to be worthwhile. Anders' first segment is easily the low point, thankfully. Any film starring Madonna should be immediately suspect, and everything about this tale of witches is awful. Rockwell's segment is a bit of an improvement, but too forgettable. Rodriguez's segment is the one I remember being the best, and it thankfully does hold up okay. Antonio Banderas is hilarious in it, and most of the jokes hit. I remember QT's segment being the worst originally, but I actually thought it was by far the best this time around. It usually gets flack, I think, because it stars Tarantino, but he's comfortable here playing a pompous movie director. It's honestly his best performance (if it had been readily available, I might have suffered through Destiny Turns on the Radio again) and his direction is pretty brilliant. The one thing that really drags this whole movie down is Tim Roth. Man, I remember loving him when I was a teenager, and, though I criticized his performance in Reservoir Dogs above, he's on Olivier's level there compared to his awful mugging here. Even if QT's segment were the weakest, it would automatically be upgraded to the strongest just because he's the only one who settles Roth the crap down, a bit at least."
4,Get Shorty (1995),01-Jan-1995,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Action', 'Comedy', 'Drama']"," The mobster flick mixes with show business in ""Get Shorty,"" the mob comedy from ""The Addams Family"" director Barry Sonnenfeld. The two (mob movies and Hollywood) have always gotten along well together from ""The Godfather"" to ""Goodfellas,"" so ""Get Shorty"" taking the humorous business angle is only a natural evolution. Starring John Travolta hot off of ""Pulp Fiction,"" it's an enjoyable film for those who love movies and those who love the mob.

""Get Shorty"" is mostly about the former. Chili Palmer (Travolta) is a loan shark/shylock who flies out to Hollywood to collect a debt and partly to avoid his new boss, Ray Bones, the perfect jerk with a foul mouth played by Dennis Farina. In LA, Palmer meets producer Harry Zimm (Gene Hackman) and becomes fond of the movie business, offering to help Zimm get some lenders who've invested in one of his films off his back.

There's some strong irony between the movie business and mob movies, e.g. Chili pitches the story of why he's out in LA as a movie idea to Zimm who thinks he's got something, but its the rock solid performances of Travolta, Hackman, Farina and Delroy Lindo that sell you on ""Get Shorty.""

Film-lovers will appreciate many references from ""Touch of Evil"" to ""Three Men and a Baby"" as the movie takes plenty of shots at the industry. Those more into the mob angle will enjoy how everyone's out to get everyone -- some for legitimate reasons, others because they want in on the movie business. It displaces the gangster movie from its cozy home in New York, Boston or Miami and drops it into the glitz of Hollywood where it fits well seeing as the industry is not exactly the cleanest.

""Get Shorty"" is not overly impressive, maintaining interest through its performances and our wondering just when one of these guys is going to up the stakes and off someone -- such are the thrills of a mob movie. Its lack of a definitive objective and therefore constant evolution into a story about something other than what it started as definitely holds it back, but not beyond of the point getting to enjoy it. ~Steven C

Visit my site at http://moviemusereviews.blogspot.com"
5,Copycat (1995),01-Jan-1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"['Crime', 'Drama', 'Thriller']"," An interesting idea here is that we have two professional women dealing with the issue of violence against women. Sigourney Weaver plays Helen Hudson, author and expert on serial killers who becomes agoraphobic after an encounter with a killer. Holly Hunter plays M.J. Monahan, slightly nasal lead detective who smiles a lot and looks just out of high school but who can be as steely and relentless as any male cop.

Most of the plot binds Helen and M.J. in their pursuit of an intelligent serial killer who terrorizes San Francisco. It's the chemistry between the two women that make ""Copycat"" somewhat unique among the list of psychological thrillers. There's plenty of suspense, with gloved hands, shadowy figures, and silence. Long camera takes enhance creepy tension as does odd camera angles.

As with most thrillers of this kind, the killer seems to know exactly where to be and when to be there, and that's a genre problem. There are also some story clichés, like dependence on television news and the use of computers to convey information to the audience. I did not like the bathroom segments, and Harry Connick Jr. needs to confine his efforts to his great music. The film's climax descends into unrealistic silliness.

Production design is fine. Of note is Helen's elaborate and modern apartment, wherein almost one-third of the film takes place. The score varies appropriately from melancholy to eerie to classical. But I dislike the song ""Murder By Numbers"", mercifully played just once. Casting is credible; acting is above average. Weaver gives a convincing performance, and Holly Hunter is good in every movie I have seen her.

A lot of research went into this film on serial killers. For example, we know that most organized serial killers hide behind a mask of normalcy; and in a couple of early scenes our killer shows up as just another average Joe, undetectable in his apparent sanity.

The story here is a bit contrived. But it draws viewers in with lots of tension and suspense. And with the performances of Weaver and Hunter, the film's imperfections seem less severe."
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Drama'],
7,Twelve Monkeys (1995),01-Jan-1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['Drama', 'Sci-Fi']"," It is unfortunate that all big budget films cannot be as good as 12 MONKEYS. But alas is that not what makes these once in a while films so special? Obviously director Gilliam is a rare talent, a treasure. But even for him 12 Monkeys outshines nearly everything else he's ever done. (And that says a lot. Brazil after all is another incredible film.) But this movie has two things going for it that ale it rise to the very top of the top. #1 it features a stellar cast who all equally deliver fantastic performances. This is Bruce Willis at his peak -- before he sold out and went all Die Hard, when e still cared about being taken seriously as an actor. Same with Brad Pitt. Many attribute this film as the first time Pitt showed the world that he truly was an actor and not just another pretty face. (He further proved that point in Fight Club and many others through the years -- Money Ball, Tree of Life, et al.) and then there's Madeline Stowe. Besides the stellar acting though 12 Monkeys accomplished something even more important: it gave us the opportunity for future films such as Memento and Inception. 12 Monkeys not only featured a non-linear approach to time travel, it did so erratically boldly dynamically and unapologetically so, allowing future filmmakers, like the aforementioned referenced Nolan brothers, to feel safe stepping even further out on those limbs. 12 Monkeys opened that door and so many others. This is a film you can see over and over and still see something new in it AND be moved by. A classic by all standards."
8,Babe (1995),01-Jan-1995,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"[""Children's"", 'Comedy', 'Drama']"," ""Babe"" is a charming, subtle sleeper that's filled with suspense, humor, and genuinely touching drama...in other words, it has all the elements mainstream movies seldom deliver. The fact that the movie's central characters are barnyard animals makes it even more of a fascinating achievement. Examples:

An early scene in which Babe, the orphaned piglet on Hoggett's farm, cries ""I want my mom"" is more emotionally effective than all of the sappy melodrama squeezed into three hours of ""Titanic.""

The scene in which Farmer Hoggett (James Cromwell), despondent over a sick Babe, does an Irish jig to cheer the porker up, is funnier than anything I saw in ""There's Something About Mary.""

And finally, the climactic sequence, in which Babe participates in a sheep-herding competition (reserved for dogs), is more suspenseful and exciting than anything you'll find within ""The Matrix.""

And everything in between these moments is sensational, as well.

7/10"
9,Dead Man Walking (1995),01-Jan-1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Drama']," The story of a nun who is assigned to be the spiritual advisor of a man who has only a short time to live before his execution. He has already been on death row for six years. He and another man have been convicted of the brutal murder of a couple out parking in the woods.

The dialogue is fantastic as Sister Helen has meaningful discussions with not only our 'dead man' Matthew Poncelet, but also his family and the families of the victims involved. The film builds in intensity until unleashing a stunning and gripping conclusion that left me deeply moved. It's also an educational piece on the lethal injection process, something most people would have no clue about before viewing this film. Both Susan Sarandon and Sean Penn exhibit phenomenal acting from beginning to end. You can see real emotion in their faces and movements especially towards the end. There's not one moment in the film that feels unnecessary, not one moment in the film that seems contrived. Everything feels real and the direction (from Tim Robbins, who played the main character in The Shawshank Redemption only a year earlier) attests to its greatness.

It's a bit of casting cleverness that Scott Wilson - who played one of the two killers in 1967's ""In Cold Blood"" - is playing a chaplain here.

A couple of points - Matt starts out manipulative with Prejean even trying some pedestrian jail house come on initially, but she lets him know where things stand right off the bat. I wonder if he would have ever taken responsibility for what he did and admitted his crimes to Sister Prejean if he was not about to be executed. Bravado seems to be a big part of his identity. He ultimately admits he would not have been in the woods doing what he did to get to death row if he had the courage to stand up to his crazy companion and just walk away.

And this is the thing about these kinds of cases, the individual is on trial, but often it is two people together each of whom can't back down in the presence of the other who do the most gruesome crimes. It really is the bad company they choose and poor impulse control when free to make those choices that leads to their downfall. Some call it the synergy of evil."
10,Richard III (1995),22-Jan-1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['Drama', 'War']"," Ian McKellen has been one of the most versatile actors for many years. One of his most pronounced roles was in this adaptation of William Shakespeare's ""Richard III"". Taking place in a fictional version of 1930s England, it depicts Richard as a fascist wannabe dictator. His flags and rallies look like something right out of Nazi Germany.

I should admit that I've never read Shakespeare's original play or seen a production thereof - I don't even know that much about the War of the Roses - so this is my introduction to it. The movie has made me eager to see it. Fine support comes from the rest of the cast as assorted relatives, consorts and aides. The movie could be seen as a warning about autocratic leaders, especially as we currently see ascendant authoritarianism around the world. I recommend it.

PS: McKellen later played a Nazi in Bryan Singer's ""Apt Pupil"", while John Wood is best known as Prof. Falken in ""WarGames""."
