Movie,Review
Paths of Glory (1957),"We're still wondering where Stanley Kubrick wanted to go with this Paths of Glory.

Even though the historic facts on which it relies on are far from being uninteresting, the plot is, the dramatic tension is almost non-existent and the story goes from one subject to another from scene to scene with not much coherence.

As for the form, granted the cinematography is beautiful with some excellent tracking shots in the trenches and an exceptional travelling shot in the no man's land, but the mise-en-scène is sometimes almost ridiculous when for example two characters are climbing stairs, then stop halfway through, then separate in opposite directions.

To sum up, it's hard to grasp Kubric's logic, what he wanted to tell, the level of analysis is superficial and even though the movie is barely an 1h30 long, you just want to get to the end of it."
"Grifters, The (1990)","Most films have one, and only one, protagonist around whom the story is told. But ""The Grifters"" has three, all of them petty swindlers, desperate for quick cash or good odds at a ""long con"". And it's the personal relationships among these three criminals, complex, sometimes dark, and almost always motivated by survival, that make this film a pretty good bet.

Roy Dillon (John Cusack), is a trickster, a loner, ""on the grift"" for the ""short con"", strictly a nickels and dimes man. His mom is Lilly (Anjelica Huston); she's a middle-aged lady with white hair; she's seductive, cold-blooded, and tough as nails; she's been around the block a few times. Roy's love interest is Myra (Annette Bening), a shapely, fun loving babe who uses her charms to con rich businessmen. These three people are highly manipulative and scheming, on-guard, and mistrustful of each other and the rest of the world.

The film's tone is bleak and gloomy. There's very little ""heart"" in this film. And that's a problem, because I found these characters not very sympathetic. They lead lives of quiet desperation, grimy and tawdry. Still, ""The Grifters"" is a crime story in the best tradition of Dashiell Hammett and Raymond Chandler, a pulpy melodrama about the underbelly of urban America.

The film's structure is conventional, and contains a number of flashbacks. The set-up is tediously long. The second half of the film is better than the first half, in my opinion, because the second half contains more suspense.

Dialogue is direct and tough, like when Lilly makes her point to the ambulance driver who takes Roy to the hospital and is skeptical about Roy's chances for survival: Says Lilly: ""My son is gonna be alright, if not, I'll have you killed"". Later, she explains the facts of life to her son: ""Grifts like anything else Roy, you don't stand still, you either go up or down, usually down, sooner or later"". Yes indeed, it's a tough life being a ""grifter""; but Lilly is one tough broad.

The film's color cinematography is fine. And the film has a terrific title sequence and a great Elmer Bernstein score at the beginning. Editing, costumes, and production design are all credible.

If you're in the mood for a gritty, bleak story of petty criminals in a well made modern film, ""The Grifters"" is a good choice. As a bonus, the DVD has an exceptionally good Commentary, with insightful comments from Director Stephen Frears, and actors John Cusack and Anjelica Huston."
"Thin Blue Line, The (1988)","Regarding the issue of manipulation, lets face it people, all documentaries are manipulative - every documentary filmmaker is attempting to make a point, whether or not they care to admit it. It is the documentaries that give the impression of being ""objective"" that are, in fact, the most manipulative. In the case of ""The Thin Blue Line"" the purpose of the documentary is clear, and the viewer is not tricked into believing that they are watching something objective. Instead, it is quite upfront about its purpose, and therefore is a much more honest piece of work. People should never accept anything they see in a documentary as fact, it's important to understand that documentaries are simply an attempt to present the director's perspective of a real-life situation. It is the great documentaries that present their perspective in a convincing manner, and do so without boring the viewer to sleep. Here ""The Thin Blue Line"" succeeds very well: it is powerful, it is engaging, and it's extremely convincing. Does that mean that everyone should be convinced? Lets hope not. However, it certainly should give everyone something to think about.

The only real problem with the film is its over-use of re-enactments where they are not really that necessary. For example, there is an image of a clock, representing the futility of time, which is too long for its own good. The milkshake scene was also (intentionally)annoying. However, this is a minor problem, and not one that should bother most people. Overall: great film, and highly recommended."
Paris Is Burning (1990),"I waited a while to post a review of this documentary because when I first saw it over 10 years ago, I wanted to think carefully about what I wanted to write.

I found from a documentary standpoint that this is a darned good documentary. It did what it set out to do, show me something I had no idea about and kept me interested in this world it explored. I knew nothing of the Drag world and finding out about them and the ""Balls"" was just spectacular to me. These folks were just so talented with what they do and how they do it, for competition. The catty folks, the complainers (even I was angry when someone told the judge that the coat the Drag Queen was wearing wasn't a man's coat!), the jealous, it's all there like in every other competition. LIKE EVERY OTHER COMPETITION like it. Which I felt was a point.

You had the older drag queen talking about how the Balls ""used"" to be compared to the newer drag queens who have changed the Balls and made more competition categories -- and even those who looked on knowing that the future of Balls would change even more when they were ready to walk the runway. It was interesting to hear that some of the contestants were living out on the street two minutes before the ball but came to compete, it was that important to them! Then there was sad stories, stories of who's ""house"" and ""house mother"" brought out the best and the brightest in competition. It was interesting.

Now to add after 10 years of seeing this film, I lived through the so called 'Madonna' craze. I spotted a few familiar faces from this documentary who ended up with Madonna during her ""Vogue"" phase and rightfully so. If not for those individuals, Madonna wouldn't have HAD a ""Vogue"" phase, I know that now. Credit should be given where credit is DUE. Makes me wonder, if anyone else from mainstream America would watch this documentary, they'll learn they're not as ""mainstream"" as they think."
Once Upon a Time in the West (1969),"Once Upon a Time in the West (1968)

On the heels of ""The Good, The Bad, and The Ugly,"" is this equally sprawling and archetypal Western, this time with less obvious dubbing, and Henry Fonda as a kind of tie in to Hollywood's hero paradigm. It's indescribably beautiful, one of the most gorgeous Westerns ever photographed, indeed a model for good visual directing and cinematography in any genre. That alone makes the almost three hours a pure pleasure.

But it's not a fast movie in any other way. It can't be. It depends on lingering over delicious details, small ones, shot up close in startling detail and ever deadpan looks and steely eyes. Nothing is believable and it's not meant to be. It's not even a fable, quite, but more a celebration of being inside an incredible film, as strange as that sounds. Not that the scenes are not believable--even the very last shots of the makeshift town and the railroad being built is about as realistic as it gets. Great stuff.

Plot? You might, at times, wonder where the plot went. There are lots of bad guys, and you're not totally sure there's a protagonist, unless the one woman in the movie is the center of our concerns, even if she is clearly a bystander to it all. When it gets clear, in the last twenty minutes, it's again archetypal (and has echoes of the over the tops showdown in ""Good Bad and Ugly""). A small bit of slow motion (not needed normally in a movie where everything is slow already) makes clear this is the key moment in the film, the thing that made the rest of it, with all its confusing and violent layers, sensible.

For my money, I'd love all this incredible visceral stuff, the sounds and sights, filled in with some kind of deeply felt conflict, not a purely dramatic one. I watch and am shocked, or swept away, or impressed, or dazzled, but I'm actually never moved, not from the heart. And there are plenty of aspects here that should really move us--including feeling for the woman's plight, rather than simply recognizing that it is, after all, quite a plight.

Still, another landmark Sergio Leone movie."
Ran (1985),"Realizing that it is practically heresy in the film world to criticize a Kurosawa film, much less downright dislike it, I'd like to precede my review by saying that I have absolutely loved every Kurosawa film I've seen  until now. ""Ran"", Kurosawa's 1985 film based somewhat on Shakespeare's ""King Lear"" is the story of an elderly emperor who hands down his kingdom to the oldest of his three sons. While the oldest and middle son fan over each other, saying that they are not deserving, etc. it is the youngest who speaks his mind about the subject, incurring the wrath of his father and ultimately, banishment from the area. Meanwhile, the two older sons are making a mess of things with the kingdom, leading to wars, fratricide and the dismissal of their father, even attempting his murder. None of their motives are noble or honorable, only avarice and power motivate them, leading to tragedy for all.

Going into this, I knew that this was not going to be a light story by any means. For anyone who has read or is familiar with Lear, it is a story that is pretty much slogged through, though it is wonderfully told. ""Ran"" can pretty much be described the same way. While I certainly appreciated the good acting, the unbelievable costumes and the set design as a whole, I found myself unable to become engaged in the story. The pacing was extremely slow, certainly not an easy thing to deal with during a film that lasts about 2 hours and 40 minutes. Unfortunately, for myself at least, it is the pacing, visuals and story that can really make a foreign film a success for me, and I found that ""Ran"" only had one compelling element out of the three, which managed to save it from being an absolute dud, but not enough to make it as awesome as Kurosawa's other films are. (And in using the word awesome, I really mean the word ""awe"") Because of the costumes, at times arresting imagery, and the ultimate fate of Lady Kaede (which bumped up the film by an entire point for me because of its bluntness) I'm not completely panning the film. While I feel the film was a bit disappointing, I'm more disappointed in myself for not being able to like it as much as I would have wanted, since it has had such amazing reviews. But since you can't like them all, ""Ran"" gets a 5/10 from me.

--Shelly"
"Quiet Man, The (1952)","I am uncertain how to critique this film objectively. I will start by making a critique of some other critiques. One complaint is the 'stereotypes' of the Irish. These complaints reveal both the Political Correctness of the complainers  and their ignorance. The Director, John Ford (real name Sean Aloysius O'Fearna) was born and raised in Ireland and was very much the moving force in producing this movie. Why? Because he liked the script. The leading lady, Maureen O'Hara (real name Maureen Fitzsimons) was also born and raised in Ireland. She also helped get the film produced. Why? Because she liked the script.

Now, If these two Irish born participants in the picture don't find anything offensive, why should we? The greatest offense seems to be depicting the Irish as people who like to drink and fight. Having known many Irishmen I can say many do, in fact, like to drink and fight. Stereotypes usually originate in a firm foundation of fact.

Secondly, they are horribly offended by the 'violence against women', blah, blah, blah. Now, the Maureen O'Hara and John Wayne characters in this movie were repeated pretty much hereafter in every picture they did together. It is, in fact, a very old theme. People who hate the idea of a fiery, strong willed female finally tamed by a confident, dominant male can find equal hatred for Shakespeare, just read 'Taming of the Shrew'. It was an old theme when Shakespeare wrote it.

Sadly, they were so busy being offended they missed what a fine athletic performance Maureen O'Hara gave as John Wayne dragged her along. She was a real trooper. That bit of athletic performance was no mean feat.

Now, back to the film. It seemed syrupy, smalzy and contrived. So bad, at times, it was cloying and annoying. The plot seemed paper thin and artificial, merely a threadbare artifice to generate false conflict. The characters were all stock characters and hence all wholly predictable as was the inevitable outcome. Thus, with no genuine tension and no real character development that drew you in; it was hard to sustain interest in this film.

My difficulty is, as a boy, I use to love all of the John Ford/Maureen O'Hara/John Wayne pictures. Yet, I doubt most of them were any better than this. So why now do I find this so unengaging? I think because as a boy, as did the larger society, we believed these simple smarmy sentiments. I probably believed that when two men fought they would afterwards become friends ( a frequent theme in films of this era). I now know that the victor usually feels contempt for the loser and the loser has a burning hatred of the winner for the humiliation inflicted on him. And so it is with the other sentimental claptrap.

However, it may also be the era in which we live. Now we live where every disgusting, evil human perversion is just a click of the mouse away. Where car jacking, once shocking, are now just accepted as normal life. Where terrorists kill by the thousands and drug dealers enslave by the tens of thousands. We live in an era that has grown callous and cynical. Simple, smarmy sentiments like mom, home and apple pie simply don't hold much water anymore.

So, is impatience for the sugary sentiment in this picture merely a matter of growing up? Is it like the Bible says, ""When I was a child I thought like a child and acted as a child, but now I am a man and have put aside childish ways"".

Or, is it because both I and the society at large have grown hard, callous and cynical? Perhaps a little of both.

But remember, the generation that saw the release of this film loved this film. Even Hollywood did, giving it two Academy awards. And they were grown ups, having lived through a Great Depression and a World War. Certainly, they had no illusions.....

So perhaps it is just us..... A newer generation without illusions, but also without faith."
Once Upon a Time in America (1984),"In order to cater to their everlasting lust for making money, the movie production studios have always endorsed the motto of quid pro quo – ""A favor in return of another"". Every movie-maker capable enough to be called an auteur—by the virtue of his knack for eccentricity and novelty—has had to borne the brunt of this naked opportunism: be it D.W. Griffith, Charles Chaplin, Orson Welles or Stanley Kubrick. Sergio Leone too had to pay collaterally by having to make five Westerns in order to get funding for his dream project, Once Upon a time in America (OUTA). OUTA is a masterpiece of epic proportions and is consummate on almost every level. The uniqueness of the movie is such that it can be looked upon from various angles with each perspective adding immensely to movie's substance and profundity. The movie not only transcends genres by making simultaneous forays into the realms of Crime, Drama, Mystery, Suspense and Fantasy, but also crosses on several occasions the fine line that separates Dream from Reality.

At the beginning of his career, Leone got widely proclaimed as a master of technique and style as he added new dimensions to cinematography and screenplay. Leone's directorial debut was 'A Fistful of dollars'. Movie's success was marred when Akira Kurosawa sued the production house for plagiarizing Yojimbo. Leone bounced back with 'For a Few More Dollars'. He single-handedly reinvented the Western genre by providing a completely different perspective to the Old West, which was hitherto portrayed as the battle ground for the epic battle of virtue versus vice in the backdrop of chivalry and machismo. With 'The Good, the Bad and the Ugly', Leone perpetuated what would become his trademark: Spaghetti Western. Leone's distinctive style included juxtapositions, super close- ups, long continuous shots, and the rotating camera shots. Leone's collaboration with master-composer Ennio Morricone gave cinema some of its most mellifluous compositions. Once Upon a Time in the West elevated Leone from the position of a showman to a serious movie-maker—an auteur capable of much profound works. Leone refused a multitude of projects, including the opportunity to direct 'The Godfather', in a bid to realize his dream project.

OUTA is an epic crime saga based on the lives of Jewish gangsters from their humble childhood in the ghettos of New York to their rise in world of organized crime. 'Noodles', 'Patsy', 'Cockeye', and little Dominic struggle as street kids in the East Side of Manhattan in the early 1920s. They work for 'Bugsy', a local gangster, until they meet 'Max' and decide to start an independent operation, triggering a series of incidents which changes their lives for ever. Robert De Niro as 'Noodles' gives one of the most subtle performances of his career. James Woods is chillingly menacing as 'Max'. Young 13-year-old Jennifer Connelly as 'Deborah' serves as a pulchritudinous delight for the sour eyes, and I say this as a testament to her ethereal, nymphean charm that was evident even at such a tender age. The rest of the cast gives a great support to the actors in lead with special mention of Elizabeth McGovern, James Hayden and Joe Pesci. The music is composed by Leone's long-time collaborator Ennio Morricone, who once again works his magic by creating music that is so plaintively divine that even Mozart would be proud of it.

The film poignantly explores the themes of love, lust, friendship, greed, betrayal and loss of innocence in the backdrop of the 20th century America. For the European release, Leone cut down his original version to 229 minutes to appease the distributors. However, for the US release, OUTA was ignominiously edited down to 139 minutes by the muddle-headed studio personnel against the director's wishes. In this short version, the flashback narrative was omitted as the scenes were put back in the chronological order. Many of the movie's most beautiful shots are not present in the shorter version, including the nigh magical sequence in which time-switching is indicated by the conjuration of a Frisbee. Movie's abysmal show in the US is attributed to this sabotage. Leone was reportedly heartbroken by the American cut, and never made another film again.

The dreamlike screenplay of OUTA gives it a lyrical, almost hypnotic feel. OUTA is a tapestry of highly complex mesh work: the story depicts the lives of same individuals across three different timelines. The time-switching techniques used in the movie are so effective that the switching seems absolutely seem-less. The mystical ringing tone that the viewer gets to hear in the beginning of the movie provides a great subterfuge in unison with the dream-like finale, and adds surrealistic elements to the movie by raising doubts that the events depicted in the movie could well have been a part of a drug-induced dream that Noodles would have been experiencing under the hypnotic effect of opium. The movie has a multitude of unforgettable moments, which can be cherished again and again with the same levels of indulgence. The sequence in which little Dominic—caught between the want to satiate his newly attained puberty and the fundamental urges—buys a pastry to charm a neighborhood girl, but succumbs to the universal temptation and ends up eating it himself is pure gold. The scene which depicts Robert De Niro molesting his childhood love represents cinema at its most macabre. The make-up, set designing and costume designing are all top- notch. The make-up artists have gone about their business with such meticulousness that the actors seem to genuinely represent their character's age in each era.

Overall, OUTA is a testament to Sergio Leone's dedication to the free spirit of Art. It succeeds at multiple levels and makes the viewer go through an entire gamut of emotions, keeping him engaged throughout. It is sanguinary and is surfeited with blood-cuddling violence that makes it unsuitable for the weak-hearted. OUTA, however, is as a must for the enthusiasts of the genre and the cineastes worldwide. 10/10

http://www.apotpourriofvestiges.com/"
Glory (1989),"When I finished watching this film I honestly felt sick. It is one of the most patronising and formulaic films that I've seen in a long time that serves the viewer nothing but overblown sentimentality and self-righteousness.

Race is an extremely important issue that deserves to be treated with respect. This film merely seeks to exploit the highly emotionally charged issues in a pathetic attempt to try and bring hollow tears to the faces of its viewers.

Everything in this film is done by the book. All the stereotypical characters are there, lined up and ready to be used in the most cliché of fashion. The film doesn't even try and tell a story but instead stick a load of over the top scenes together, accompanied by an extremely annoying pretentious score, that try to create many climactic ""moments"" to try and move the viewer.

Another thing that really annoyed me about this film is the title itself, ""Glory"". What is really glorious about a load of men getting killed, black or white? The film doesn't even try to portray the foolishness of war and instead resorts to partiotically flag-waving, proud that America was founded on such bloodshed. Mel Gibson in a kilt screaming ""FREEDOM"" at the top of his lungs would not seem out of place.

However, when you spray as many emotional scenes about the place at least a couple are going to hit their targets. The scene where Matthew Broderick is shouting at the stuttering squirrel shooter and fireing his pistol did manage to get a response out of me. This is because it was one of the few scenes that decided to leave race alone and attempt to deal with the reality of war. Another couple of scenes were well done too, but these scenes' resonance was muted by the overall quality of the others.

The battle scenes were well done, in a sense that they looked realistic. I thought that these might be able to help save the film but, to my dismay, as soon as I'm starting to believe in them another highly telegraphed clichéd plot point comes along that completely breaks up the intensity and disintegrates into farce.

There isn't really a lot more than I can say about the film. I can't really comment on the quality of the acting because the actors were forced to play such one dimensional characters. I had been recommended this movie by a couple of people and had really high hopes for it, but instead of being a glorious experience it was condesending and repulsive."
Touch of Evil (1958),"Orson Welles was never again to direct in the Hollywood system after making this tale of good versus evil, which was the studio systems loss a man of great talent behind the camera but had the ego to boot.

In an American/Mexican border town a car bomb sets into motion a series of violence and crime, endangering Mexican Lawman Vargas (Heston) and newly Bride Susan (Janet Leigh)

Touch of Evil is all about the direction as Welles is able to show off his directional talents and then some. From the maybe most talked about opening, a bravura 3 minute tracking shot following a car with a bomb planted in the trunk, down a seedy town down to the border patrol to the very last intricate shots set through wastelands to a canal that were in no way logical to the plot but were visually pleasing very much showboating.

The plot is somewhat complex and maybe can't be grasped with just the one viewing given everything that is going on a technically as well. It reverses stereotypes, Vargas a high ranking Mexican narcotics detective and upstanding citizen with morals and an American wife. Hank Quinlan (Welles) who's power and high status in law enforcement has corrupted his mind, out for justice whether justified or not willing to plant evidence to get his target.

The acting is terrific Heston although he doesn't resemble a Mexican it doesn't matter, I believe it to be one of his best roles. Janet Leigh is stunning to look a real beauty of the screen who holds her own. Welles is a powerhouse not only his performance but also physically, his screen presence is something to marvel.

From that opening scene which sets the atmosphere and dark tone for the rest of the 90 minute or so running time, a couple of really tense scenes (A small room interrogation which also boasts Welles prowess) and at one point something horrifying ( There is an implied Gang rape that for me was pretty unsettling and for the year 1958 was a very brave thing to include in a mainstream movie, although afterwards its not to clear what happens)

This will always be held as a classic and one of the best Film Noirs around ( A genre I'm just getting into) I've seen it twice now and feel with each viewing there will be something different to notice and concentrate on. A great technical achievement that seems to be admired by film viewers and film makers alike. The black and white cinematography is stunning. A thrilling ride from start to finish."
